# Distance [mm]	ReEz [] - Freq='11.994GHz' Phase='0deg'	ImEz [] - Freq='11.994GHz' Phase='0deg'
82.3	-215.7444807	-28723.42654
82.4	-822.4520631	-29605.80368
82.5	-1424.867624	-30484.30322
82.6	-2000.010003	-31325.05777
82.7	-2520.543789	-32090.23623
82.8	-3041.077575	-32855.41469
82.9	-3502.639279	-33538.97789
83	-3941.291278	-34190.83486
83.1	-4372.300482	-34831.07954
83.2	-4739.750752	-35374.75408
83.3	-5107.201022	-35918.42863
83.4	-5444.315026	-36410.6222
83.5	-5750.414223	-36850.18329
83.6	-6056.513421	-37289.74439
83.7	-6326.007609	-37653.0146
83.8	-6590.585699	-38006.03885
83.9	-6844.005802	-38335.80791
84	-7067.062713	-38602.29475
84.1	-7290.119624	-38868.7816
84.2	-7485.944408	-39078.51164
84.3	-7667.48007	-39258.46051
84.4	-7848.118601	-39435.41
84.5	-8008.7859	-39545.58987
84.6	-8169.4532	-39655.76974
84.7	-8320.988915	-39733.89674
84.8	-8460.425896	-39769.55585
84.9	-8599.862877	-39805.21496
85	-8724.963214	-39781.92061
85.1	-8846.857652	-39745.44335
85.2	-8965.591997	-39694.15406
85.3	-9072.024586	-39585.2038
85.4	-9178.457175	-39476.25354
85.5	-9279.795329	-39321.63399
85.6	-9377.615323	-39135.47574
85.7	-9475.435318	-38949.3175
85.8	-9570.768493	-38678.46845
85.9	-9666.047389	-38405.77093
86	-9760.397074	-38101.42059
86.1	-9853.135543	-37742.18558
86.2	-9945.874012	-37382.95057
86.3	-10039.79742	-36951.90418
86.4	-10134.10971	-36497.28947
86.5	-10229.65354	-36027.18421
86.6	-10332.76061	-35461.94652
86.7	-10435.86769	-34896.70883
86.8	-10549.23093	-34265.49502
86.9	-10671.79351	-33575.10345
87	-10794.3561	-32884.71187
87.1	-10934.70686	-32079.89231
87.2	-11076.72518	-31264.34572
87.3	-11224.97484	-30405.96153
87.4	-11387.66644	-29448.29566
87.5	-11550.35803	-28490.62979
87.6	-11739.5576	-27440.93866
87.7	-11940.74744	-26349.62199
87.8	-12146.09122	-25249.05225
87.9	-12402.16921	-24035.4699
88	-12658.24721	-22821.88755
88.1	-12939.72793	-21551.71934
88.2	-13250.69397	-20215.87111
88.3	-13561.66001	-18880.02289
88.4	-13919.2775	-17440.25583
88.5	-14285.13148	-15982.14152
88.6	-14666.74152	-14500.68167
88.7	-15099.0571	-12944.09202
88.8	-15531.37269	-11387.50237
88.9	-15993.01937	-9828.035257
89	-16472.32485	-8266.835755
89.1	-16952.01654	-6706.133339
89.2	-17465.41008	-5188.807205
89.3	-17978.80362	-3671.481072
89.4	-18505.77988	-2171.636725
89.5	-19053.26147	-698.1839716
89.6	-19600.74306	775.2687819
89.7	-20175.00388	2214.255037
89.8	-20756.57353	3643.834398
89.9	-21337.04335	5056.9732
90	-21912.24529	6391.366363
90.1	-22487.44724	7725.759527
90.2	-23047.37461	8974.67752
90.3	-23595.29324	10156.39555
90.4	-24143.21186	11338.11359
90.5	-24644.26651	12393.38218
90.6	-25142.69731	13441.57105
90.7	-25624.59368	14445.14652
90.8	-26073.53651	15359.80631
90.9	-26522.47933	16274.46609
91	-26935.72934	17092.81942
91.1	-27335.18403	17873.95019
91.2	-27728.35006	18642.32687
91.3	-28069.7751	19305.76728
91.4	-28411.20014	19969.2077
91.5	-28721.51522	20577.11825
91.6	-29000.15527	21128.49033
91.7	-29278.79533	21679.8624
91.8	-29507.67363	22154.49838
91.9	-29729.93474	22618.93017
92	-29936.987	23059.90883
92.1	-30102.86895	23437.39992
92.2	-30268.75089	23814.891
92.3	-30397.59779	24135.27133
92.4	-30507.10037	24425.82129
92.5	-30614.44571	24714.25373
92.6	-30674.94257	24956.70025
92.7	-30735.43942	25199.14676
92.8	-30772.80642	25414.33707
92.9	-30779.65638	25593.56614
93	-30786.50634	25772.79521
93.1	-30750.05088	25910.55982
93.2	-30703.97834	26039.11619
93.3	-30647.03499	26157.2641
93.4	-30548.03994	26235.14888
93.5	-30449.0449	26313.03366
93.6	-30313.92006	26365.33004
93.7	-30153.95057	26400.03056
93.8	-29993.98108	26434.73108
93.9	-29778.27297	26427.03131
94	-29561.40819	26418.45165
94.1	-29316.0143	26394.21922
94.2	-29021.37115	26342.96572
94.3	-28726.728	26291.71222
94.4	-28373.4447	26208.28562
94.5	-28001.02225	26114.35828
94.6	-27615.1359	26014.56877
94.7	-27147.26546	25879.08351
94.8	-26679.39501	25743.59825
94.9	-26168.16533	25582.9488
95	-25618.20467	25399.82122
95.1	-25068.244	25216.69365
95.2	-24399.33067	24995.32994
95.3	-23719.41254	24770.42885
95.4	-23000.18877	24532.89344
95.5	-22190.31317	24266.21908
95.6	-21380.43757	23999.54472
95.7	-20480.9459	23704.0645
95.8	-19541.11284	23395.61709
95.9	-18589.38191	23083.91477
96	-17494.447	22733.03596
96.1	-16399.51208	22382.15715
96.2	-15241.48252	22027.24698
96.3	-14010.52084	21667.67691
96.4	-12779.55917	21308.10683
96.5	-11435.02329	20944.57382
96.6	-10070.59721	20580.34679
96.7	-8674.393175	20215.01093
96.8	-7176.502346	19846.12695
96.9	-5678.611517	19477.24296
97	-4136.634451	19120.93917
97.1	-2568.23159	18772.1761
97.2	-998.0497717	18423.65101
97.3	714.2817151	18094.14194
97.4	2426.613202	17764.63288
97.5	4116.011858	17456.07207
97.6	5770.938075	17179.0005
97.7	7425.864293	16901.92893
97.8	9035.634452	16666.10581
97.9	10633.1555	16441.47183
98	12220.70241	16225.94889
98.1	13760.81837	16053.75259
98.2	15300.93433	15881.55629
98.3	16802.12209	15737.3397
98.4	18272.83246	15615.02878
98.5	19743.54284	15492.71785
98.6	21080.15453	15407.79801
98.7	22409.41208	15324.92874
98.8	23688.55146	15249.13129
98.9	24868.26504	15187.36312
99	26047.97861	15125.59495
99.1	27119.68161	15079.06739
99.2	28149.85197	15038.40021
99.3	29163.66238	15000.04147
99.4	30044.29028	14980.4752
99.5	30924.91818	14960.90893
99.6	31738.84169	14939.85772
99.7	32485.12848	14917.30084
99.8	33231.41526	14894.74396
99.9	33864.2448	14874.50803
100	34482.13691	14854.57767
100.1	35071.36959	14832.56439
100.2	35583.42534	14804.94202
100.3	36095.48109	14777.31965
100.4	36537.90511	14744.63669
100.5	36944.1247	14709.3225
100.6	37345.57638	14673.66181
100.7	37645.95999	14630.656
100.8	37946.34361	14587.65019
100.9	38217.00451	14536.8357
101	38448.6142	14475.76178
101.1	38680.2239	14414.68785
101.2	38846.59572	14339.03794
101.3	38998.58003	14260.17346
101.4	39135.80202	14176.96293
101.5	39216.27728	14077.04609
101.6	39296.75254	13977.12926
101.7	39334.78152	13864.71638
101.8	39343.74662	13743.74719
101.9	39352.71173	13622.778
102	39295.1141	13472.86651
102.1	39236.20654	13322.38544
102.2	39150.71477	13158.37603
102.3	39019.53413	12971.11617
102.4	38888.35349	12783.85631
102.5	38701.30547	12566.31909
102.6	38496.12437	12338.95465
102.7	38280.32124	12105.69184
102.8	38000.38448	11836.81596
102.9	37720.44771	11567.94008
103	37392.26266	11264.40979
103.1	37021.15722	10930.05185
103.2	36650.05178	10595.69391
103.3	36192.2729	10196.70448
103.4	35726.58194	9791.815102
103.5	35232.18597	9365.520842
103.6	34671.90883	8890.100026
103.7	34111.6317	8414.679209
103.8	33471.68894	7877.549962
103.9	32796.05636	7312.775631
104	32112.4819	6739.884149
104.1	31334.6898	6070.695744
104.2	30556.8977	5401.507339
104.3	29732.36264	4678.345943
104.4	28854.01995	3893.054132
104.5	27975.67725	3107.762321
104.6	27011.66557	2223.550378
104.7	26032.77241	1322.155126
104.8	25029.83466	392.9960491
104.9	23950.39119	-624.5026798
105	22870.94772	-1642.001409
105.1	21761.16011	-2729.492869
105.2	20633.2637	-3858.754654
105.3	19504.56597	-4989.430256
105.4	18316.82582	-6224.279525
105.5	17129.08567	-7459.128794
105.6	15961.4172	-8700.154821
105.7	14823.79112	-9950.425937
105.8	13686.16504	-11200.69705
105.9	12588.01133	-12463.11525
106	11500.49935	-13728.8083
106.1	10421.74631	-14997.1968
106.2	9384.348455	-16278.31186
106.3	8346.950599	-17559.42692
106.4	7337.712388	-18849.20781
106.5	6350.428686	-20145.74497
106.6	5363.144984	-21442.28212
106.7	4487.613818	-22624.44772
106.8	3618.083357	-23800.47198
106.9	2787.008354	-24943.6482
107	2031.870786	-26021.95987
107.1	1276.733218	-27100.27155
107.2	590.3707433	-28094.09604
107.3	-69.6816687	-29055.59976
107.4	-719.2338289	-30004.2044
107.5	-1284.201102	-30848.90029
107.6	-1849.168376	-31693.59618
107.7	-2366.825096	-32480.17322
107.8	-2836.707249	-33208.06138
107.9	-3306.589401	-33935.94955
108	-3714.913168	-34563.81623
108.1	-4115.213449	-35178.64618
108.2	-4495.432861	-35761.75035
108.3	-4821.857525	-36259.8642
108.4	-5148.282189	-36757.97805
108.5	-5444.656102	-37196.13053
108.6	-5725.476773	-37603.24907
108.7	-6004.196016	-38006.17459
108.8	-6239.412767	-38322.29898
108.9	-6474.629518	-38638.42338
109	-6692.835504	-38917.61607
109.1	-6888.785469	-39148.48918
109.2	-7084.735433	-39379.3623
109.3	-7254.582416	-39547.27872
109.4	-7418.712671	-39701.4072
109.5	-7578.801764	-39840.9784
109.6	-7723.453727	-39924.94116
109.7	-7868.105689	-40008.90393
109.8	-8001.175728	-40051.14651
109.9	-8126.349179	-40064.94416
110	-8251.522629	-40078.7418
110.1	-8357.573224	-40023.6568
110.2	-8463.267942	-39967.28991
110.3	-8567.724736	-39885.72847
110.4	-8670.063375	-39761.05778
110.5	-8772.402014	-39636.38709
110.6	-8868.940217	-39451.58135
110.7	-8963.606221	-39247.36589
110.8	-9058.135251	-39031.01945
110.9	-9151.844202	-38742.04313
111	-9245.553152	-38453.0668
111.1	-9338.754626	-38119.14664
111.2	-9431.506524	-37745.41059
111.3	-9524.258423	-37371.67455
111.4	-9629.063403	-36897.90203
111.5	-9734.953893	-36415.12016
111.6	-9839.86822	-35903.69416
111.7	-9942.553021	-35326.84602
111.8	-10045.23782	-34749.99789
111.9	-10168.49487	-34077.61486
112	-10300.92382	-33362.63867
112.1	-10435.69572	-32636.78214
112.2	-10597.86882	-31783.67802
112.3	-10760.04192	-30930.5739
112.4	-10936.07281	-30013.11604
112.5	-11127.99006	-29021.88412
112.6	-11319.90731	-28030.65221
112.7	-11537.19721	-26921.59325
112.8	-11758.85861	-25792.23366
112.9	-12000.02034	-24622.89583
113	-12302.87901	-23327.07118
113.1	-12605.73767	-22031.24654
113.2	-12937.56093	-20665.80736
113.3	-13286.59377	-19259.00608
113.4	-13636.56839	-17851.12912
113.5	-14050.9122	-16369.73186
113.6	-14465.256	-14888.33459
113.7	-14905.82543	-13376.98332
113.8	-15385.4802	-11820.99009
113.9	-15865.13497	-10264.99686
114	-16396.2992	-8650.171292
114.1	-16941.26494	-7019.58211
114.2	-17490.6994	-5405.738043
114.3	-18061.083	-3870.394382
114.4	-18631.4666	-2335.050721
114.5	-19232.90089	-805.830251
114.6	-19858.44258	718.6362446
114.7	-20483.98426	2243.10274
114.8	-21089.99524	3645.642573
114.9	-21694.97979	5041.774669
115	-22293.03235	6394.632422
115.1	-22877.45938	7662.430167
115.2	-23461.8864	8930.227913
115.3	-24031.42271	10105.06927
115.4	-24595.29182	11244.53272
115.5	-25153.51687	12368.69039
115.6	-25666.74853	13370.83306
115.7	-26179.98019	14372.97573
115.8	-26663.64289	15295.42681
115.9	-27117.56938	16137.73555
116	-27571.49587	16980.0443
116.1	-27969.49199	17721.46056
116.2	-28360.2717	18449.85918
116.3	-28733.8218	19147.17739
116.4	-29061.45472	19761.6658
116.5	-29389.08764	20376.15421
116.6	-29675.04494	20915.4641
116.7	-29939.53107	21416.04222
116.8	-30201.28157	21912.42174
116.9	-30407.69887	22323.87662
117	-30614.11617	22735.3315
117.1	-30795.07748	23108.27878
117.2	-30942.87287	23431.05552
117.3	-31090.66826	23753.83225
117.4	-31196.4488	24029.83714
117.5	-31293.09203	24295.67019
117.6	-31379.07014	24549.63047
117.7	-31424.56169	24758.51982
117.8	-31470.05325	24967.40917
117.9	-31485.07761	25142.38114
118	-31479.41798	25294.3268
118.1	-31473.75834	25446.27246
118.2	-31410.69789	25550.75068
118.3	-31346.6305	25654.39621
118.4	-31268.13312	25742.17709
118.5	-31165.05416	25802.93244
118.6	-31061.97519	25863.6878
118.7	-30908.07312	25894.33203
118.8	-30737.8584	25915.31152
118.9	-30557.96614	25930.55727
119	-30320.61616	25911.76058
119.1	-30083.26617	25892.96388
119.2	-29810.24882	25853.03472
119.3	-29505.76405	25794.46152
119.4	-29201.27929	25735.88832
119.5	-28810.90618	25640.53594
119.6	-28412.9029	25541.91617
119.7	-27994.34948	25430.56695
119.8	-27529.08779	25290.28505
119.9	-27063.8261	25150.00314
120	-26510.32214	24981.12691
120.1	-25917.66606	24799.56369
120.2	-25314.84393	24614.70625
120.3	-24594.79377	24391.8622
120.4	-23874.74362	24169.01814
120.5	-23095.2095	23926.89905
120.6	-22247.7656	23662.77464
120.7	-21400.3217	23398.65023
120.8	-20420.65573	23097.7813
120.9	-19418.39592	22790.63354
121	-18378.50894	22474.96686
121.1	-17220.24279	22132.49874
121.2	-16061.97664	21790.03061
121.3	-14815.13123	21447.38241
121.4	-13515.88715	21104.62769
121.5	-12214.46495	20761.86854
121.6	-10774.2429	20418.82737
121.7	-9334.020842	20075.78619
121.8	-7837.043859	19732.62975
121.9	-6255.84379	19389.30227
122	-4674.643722	19045.97479
122.1	-2982.111875	18702.42133
122.2	-1259.933753	18358.80769
122.3	458.0547246	18028.47922
122.4	2156.541119	17759.99098
122.5	3855.027514	17491.50273
122.6	5562.540945	17246.21113
122.7	7277.033576	17018.85386
122.8	8991.526206	16791.49659
122.9	10628.84129	16611.88622
123	12262.18835	16434.73071
123.1	13868.08953	16274.55499
123.2	15420.29096	16147.60137
123.3	16972.4924	16020.64776
123.4	18465.834	15930.10869
123.5	19936.88975	15853.3571
123.6	21387.41493	15779.81882
123.7	22675.96047	15731.63255
123.8	23964.50601	15683.44627
123.9	25173.29822	15648.5837
124	26302.21578	15627.06511
124.1	27431.13334	15605.54652
124.2	28428.10498	15591.1287
124.3	29408.22534	15577.61773
124.4	30347.59322	15566.2999
124.5	31178.91671	15560.79657
124.6	32010.2402	15555.29324
124.7	32743.20769	15555.08303
124.8	33425.73465	15557.58733
124.9	34102.88513	15559.47687
125	34673.7281	15549.21102
125.1	35244.57107	15538.94516
125.2	35763.13119	15526.63026
125.3	36213.85826	15511.65687
125.4	36664.58533	15496.68348
125.5	37043.10767	15470.37669
125.6	37406.03717	15441.6224
125.7	37750.57044	15409.98064
125.8	38025.70236	15367.44559
125.9	38300.83428	15324.91054
126	38523.5809	15274.15314
126.1	38710.91524	15217.83746
126.2	38898.24958	15161.52178
126.3	39020.97361	15082.27873
126.4	39142.63304	15002.65791
126.5	39239.01252	14918.04447
126.6	39292.51721	14824.96354
126.7	39346.02191	14731.88262
126.8	39348.42075	14613.74282
126.9	39334.50792	14487.60487
127	39310.80746	14356.66773
127.1	39229.47735	14197.47293
127.2	39148.14725	14038.27814
127.3	39030.93038	13861.48696
127.4	38882.18325	13669.23551
127.5	38733.43611	13476.98406
127.6	38522.70329	13254.33917
127.7	38306.53937	13029.03125
127.8	38063.15219	12783.04145
127.9	37758.18878	12490.27136
128	37453.22538	12197.50127
128.1	37091.29444	11867.73506
128.2	36704.20977	11521.63338
128.3	36308.70534	11168.55257
128.4	35817.45451	10736.10758
128.5	35326.20367	10303.66259
128.6	34786.20734	9830.812327
128.7	34190.79057	9312.023913
128.8	33595.37379	8793.235498
128.9	32910.88596	8200.615591
129	32211.30347	7595.483642
129.1	31491.61839	6964.528148
129.2	30709.04279	6252.784255
129.3	29926.4672	5541.040361
129.4	29018.88896	4731.18626
129.5	28037.69155	3863.551038
129.6	27055.54195	2994.102943
129.7	26016.56598	2016.463293
129.8	24977.59001	1038.823644
129.9	23915.29397	16.78509568
130	22818.53928	-1070.85901
130.1	21721.78459	-2158.503115
130.2	20579.34181	-3333.132166
130.3	19424.80823	-4530.780755
130.4	18259.99749	-5747.995847
130.5	17047.68485	-7055.648949
130.6	15835.37222	-8363.302051
130.7	14590.41432	-9733.107718
130.8	13320.32247	-11150.76536
130.9	12050.23061	-12568.423
131	10966.16057	-13914.1362
131.1	9891.443094	-15256.23226
131.2	8824.607518	-16594.43596
131.3	7773.12266	-17925.0589
131.4	6721.637802	-19255.68185
131.5	5742.407845	-20543.31627
131.6	4790.394207	-21814.75815
131.7	3850.049866	-23079.30396
131.8	3000.831291	-24289.99819
131.9	2151.612717	-25500.69243
132	1357.886676	-26645.47543
132.1	619.5090749	-27724.51836
132.2	-118.8685259	-28803.56129
132.3	-764.8528543	-29766.01734
132.4	-1399.158194	-30713.73622
132.5	-2004.853014	-31625.35292
132.6	-2535.086045	-32441.74817
132.7	-3065.319075	-33258.14342
132.8	-3533.143717	-33990.29713
132.9	-3969.109953	-34679.44698
133	-4401.746456	-35362.92496
133.1	-4769.993907	-35936.72258
133.2	-5138.241357	-36510.5202
133.3	-5481.254793	-37039.27929
133.4	-5791.665857	-37509.84856
133.5	-6102.076921	-37980.41783
133.6	-6364.863769	-38365.98578
133.7	-6617.438447	-38733.3267
133.8	-6861.339259	-39082.47106
133.9	-7072.719669	-39363.39212
134	-7284.100079	-39644.31319
134.1	-7473.773581	-39876.62461
134.2	-7648.835986	-40076.21648
134.3	-7823.898392	-40275.80834
134.4	-7974.792615	-40405.58673
134.5	-8125.314309	-40534.28901
134.6	-8266.707806	-40636.62316
134.7	-8392.688035	-40694.43384
134.8	-8518.668265	-40752.24452
134.9	-8631.77629	-40760.88635
135	-8740.798882	-40753.92277
135.1	-8848.184956	-40736.59192
135.2	-8946.014624	-40658.72163
135.3	-9043.844292	-40580.85134
135.4	-9137.288515	-40464.54066
135.5	-9226.895578	-40314.59555
135.6	-9316.502641	-40164.65044
135.7	-9398.541043	-39948.36223
135.8	-9479.925502	-39726.34187
135.9	-9561.525484	-39476.38732
136	-9643.610607	-39163.55356
136.1	-9725.695729	-38850.71981
136.2	-9804.430204	-38484.80817
136.3	-9881.692376	-38095.57367
136.4	-9960.05099	-37696.36711
136.5	-10050.70727	-37185.31411
136.6	-10141.36355	-36674.26112
136.7	-10238.3015	-36106.07663
136.8	-10342.3518	-35473.2055
136.9	-10446.4021	-34840.33436
137	-10561.91922	-34103.17259
137.1	-10679.36345	-33348.48367
137.2	-10804.37745	-32556.8481
137.3	-10952.94097	-31650.27161
137.4	-11101.50449	-30743.69513
137.5	-11267.73999	-29734.21755
137.6	-11444.33737	-28664.40446
137.7	-11621.90656	-27592.03141
137.8	-11854.00426	-26376.01855
137.9	-12086.10196	-25160.0057
138	-12340.6573	-23884.83449
138.1	-12628.25532	-22522.62167
138.2	-12915.85334	-21160.40885
138.3	-13247.39485	-19682.4391
138.4	-13590.49319	-18174.0261
138.5	-13945.6296	-16649.64584
138.6	-14356.0173	-15051.98046
138.7	-14766.405	-13454.31507
138.8	-15221.2534	-11798.15089
138.9	-15710.18943	-10097.13622
139	-16199.12546	-8396.121546
139.1	-16725.11718	-6735.884403
139.2	-17252.92989	-5077.651141
139.3	-17793.97195	-3433.975962
139.4	-18360.66134	-1818.524099
139.5	-18927.35073	-203.0722373
139.6	-19522.3198	1381.259586
139.7	-20127.88588	2953.930059
139.8	-20731.54564	4509.118617
139.9	-21320.46997	5929.175262
140	-21909.3943	7349.231906
140.1	-22489.49604	8700.890494
140.2	-23060.83429	9984.609122
140.3	-23632.17254	11268.32775
140.4	-24157.51978	12413.50842
140.5	-24677.11356	13541.358
140.6	-25182.42878	14626.19702
140.7	-25650.27741	15598.17731
140.8	-26118.12603	16570.15761
140.9	-26548.0226	17438.51236
141	-26958.63435	18254.2112
141.1	-27366.12939	19063.85645
141.2	-27714.65522	19758.96596
141.3	-28063.18106	20454.07547
141.4	-28384.44585	21095.97343
141.5	-28670.6365	21669.40927
141.6	-28956.82715	22242.8451
141.7	-29195.83293	22732.41132
141.8	-29424.79233	23204.12043
141.9	-29641.11096	23653.57447
142	-29810.32851	24020.10344
142.1	-29979.54605	24386.63241
142.2	-30119.81752	24715.47009
142.3	-30240.68845	25019.04596
142.4	-30361.55939	25322.62182
142.5	-30434.76731	25564.13537
142.6	-30507.29111	25804.75813
142.7	-30561.78222	26021.90064
142.8	-30585.95839	26199.5703
142.9	-30610.13456	26377.23995
143	-30595.2327	26518.87469
143.1	-30567.99786	26649.13684
143.2	-30535.42459	26772.37038
143.3	-30471.93313	26854.89679
143.4	-30408.44166	26937.4232
143.5	-30313.54872	26998.40995
143.6	-30191.2937	27040.62787
143.7	-30069.03868	27082.84578
143.8	-29892.63293	27087.91953
143.9	-29711.61423	27089.82908
144	-29512.45925	27079.29829
144.1	-29272.67673	27040.8996
144.2	-29032.89422	27002.50092
144.3	-28752.22609	26936.05746
144.4	-28453.67963	26857.35067
144.5	-28147.08366	26775.14991
144.6	-27751.42657	26654.29127
144.7	-27355.76948	26533.43263
144.8	-26919.72812	26392.05195
144.9	-26438.15072	26227.53126
145	-25956.57331	26063.01057
145.1	-25365.53475	25859.47477
145.2	-24756.25372	25649.43683
145.3	-24115.77719	25428.27994
145.4	-23378.79227	25172.72475
145.5	-22641.80735	24917.16956
145.6	-21824.18874	24632.87432
145.7	-20959.49964	24331.80187
145.8	-20092.4429	24029.88554
145.9	-19100.04935	23683.29585
146	-18107.6558	23336.70615
146.1	-17011.4336	22969.30879
146.2	-15763.09642	22571.42697
146.3	-14514.75924	22173.54516
146.4	-13180.62632	21764.81951
146.5	-11824.0705	21353.2598
146.6	-10447.16261	20945.11721
146.7	-8977.495716	20552.54884
146.8	-7507.828821	20159.98048
146.9	-5974.021136	19778.18129
147	-4391.243125	19404.60418
147.1	-2808.465113	19031.02707
147.2	-1117.757568	18675.57114
147.3	578.1315982	18320.9852
147.4	2312.627878	17972.88129
147.5	4121.628238	17637.28643
147.6	5930.628599	17301.69156
147.7	7662.670533	17015.5281
147.8	9366.024074	16747.79156
147.9	11064.34425	16488.42611
148	12724.14901	16293.11627
148.1	14383.95377	16097.80643
148.2	15971.91883	15924.37029
148.3	17488.81873	15772.57203
148.4	19005.71864	15620.77377
148.5	20395.45595	15507.694
148.6	21769.45084	15399.40748
148.7	23103.86528	15303.17245
148.8	24334.955	15238.39782
148.9	25566.04472	15173.62319
149	26702.23101	15137.74492
149.1	27790.4154	15116.48235
149.2	28867.85863	15094.1583
149.3	29746.37746	15052.17602
149.4	30624.89629	15010.19373
149.5	31449.66259	14978.276
149.6	32205.55953	14959.25327
149.7	32961.45647	14940.23055
149.8	33609.35281	14921.62612
149.9	34234.41763	14903.11013
150	34831.66499	14884.70191
150.1	35325.89799	14866.69279
150.2	35820.13099	14848.68367
150.3	36259.01225	14824.71227
150.4	36660.9539	14796.76187
150.5	37062.89555	14768.81147
150.6	37373.76422	14731.89852
150.7	37683.42212	14694.86641
150.8	37962.31324	14653.49558
150.9	38189.7092	14604.8629
151	38417.10516	14556.23022
151.1	38590.73971	14496.90741
151.2	38747.50292	14434.22985
151.3	38894.34118	14368.82322
151.4	38984.166	14287.73961
151.5	39073.99081	14206.656
151.6	39130.54665	14114.19625
151.7	39158.23292	14011.86471
151.8	39185.91919	13909.53317
151.9	39156.16659	13785.68295
152	39121.59054	13660.02567
152.1	39067.54821	13525.07283
152.2	38970.1088	13369.39692
152.3	38872.66939	13213.72102
152.4	38728.07035	13031.74288
152.5	38562.94966	12838.31927
152.6	38391.70449	12641.17003
152.7	38153.60376	12403.35154
152.8	37915.50302	12165.53305
152.9	37642.3907	11905.79015
153	37329.96329	11621.42797
153.1	37017.53587	11337.06578
153.2	36623.08579	10990.57025
153.3	36215.08091	10633.80677
153.4	35783.62993	10259.28242
153.5	35280.0476	9830.117202
153.6	34776.46526	9400.951986
153.7	34205.83347	8917.043148
153.8	33596.23404	8401.318541
153.9	32984.26038	7883.289554
154	32253.34139	7249.814319
154.1	31522.4224	6616.339084
154.2	30741.91666	5933.935717
154.3	29889.07302	5180.155266
154.4	29036.22938	4426.374814
154.5	28086.59829	3577.092344
154.6	27111.82999	2703.006513
154.7	26117.06262	1802.673129
154.8	25031.77776	783.5411301
154.9	23946.4929	-235.5908685
155	22824.74995	-1322.380497
155.1	21675.28847	-2460.60917
155.2	20525.82699	-3598.837842
155.3	19331.832	-4844.01595
155.4	18135.74932	-6094.207766
155.5	16923.70587	-7382.73018
155.6	15681.00198	-8744.885184
155.7	14438.29809	-10107.04019
155.8	13234.54159	-11478.67653
155.9	12045.22832	-12853.82893
156	10860.94305	-14233.53778
156.1	9714.7479	-15647.7645
156.2	8568.552748	-17061.99121
156.3	7477.805126	-18436.65615
156.4	6441.681697	-19772.34677
156.5	5405.558269	-21108.03738
156.6	4467.494297	-22373.76183
156.7	3541.442435	-23630.91555
156.8	2645.990425	-24866.2358
156.9	1830.009973	-26044.85184
157	1014.029522	-27223.46788
157.1	279.0834513	-28304.01647
157.2	-415.0646047	-29335.19148
157.3	-1103.352552	-30359.07079
157.4	-1685.36689	-31250.64192
157.5	-2267.381227	-32142.21304
157.6	-2810.127297	-32977.22219
157.7	-3302.771674	-33740.06489
157.8	-3795.416051	-34502.9076
157.9	-4214.19439	-35159.35353
158	-4617.468833	-35793.46762
158.1	-5006.30599	-36403.95105
158.2	-5342.005957	-36927.46065
158.3	-5677.705925	-37450.97024
158.4	-5970.182825	-37902.62956
158.5	-6233.937874	-38306.54417
158.6	-6497.692923	-38710.45878
158.7	-6724.991627	-39035.11125
158.8	-6951.844179	-39358.79372
158.9	-7164.856819	-39652.38576
159	-7354.806874	-39895.83566
159.1	-7544.756929	-40139.28555
159.2	-7706.581007	-40321.58426
159.3	-7859.628565	-40484.80115
159.4	-8009.645709	-40638.3804
159.5	-8142.395785	-40737.0451
159.6	-8275.145862	-40835.70979
159.7	-8396.147143	-40899.55979
159.8	-8506.995397	-40933.32376
159.9	-8617.843651	-40967.08773
160	-8717.622789	-40940.97566
160.1	-8816.485773	-40909.90786
160.2	-8911.624967	-40858.69733
160.3	-8998.5024	-40762.7973
160.4	-9085.379833	-40666.89728
160.5	-9167.808112	-40520.80166
160.6	-9248.309754	-40352.96963
160.7	-9328.039706	-40180.0176
160.8	-9399.457306	-39951.91483
160.9	-9470.874907	-39723.81206
161	-9544.487854	-39449.45588
161.1	-9620.555824	-39123.3752
161.2	-9696.623794	-38797.29451
161.3	-9776.687211	-38387.03102
161.4	-9857.405322	-37962.97334
161.5	-9939.268891	-37514.78023
161.6	-10024.63691	-36992.74647
161.7	-10110.00493	-36470.71272
161.8	-10206.04947	-35865.10643
161.9	-10308.2715	-35211.14451
162	-10410.85073	-34554.37703
162.1	-10530.41182	-33764.22269
162.2	-10649.97292	-32974.06835
162.3	-10784.85819	-32118.06337
162.4	-10942.00341	-31166.40352
162.5	-11099.14862	-30214.74368
162.6	-11286.16787	-29134.70957
162.7	-11480.89711	-28021.54422
162.8	-11682.46624	-26878.98648
162.9	-11914.77941	-25604.31563
163	-12147.09257	-24329.64478
163.1	-12427.21092	-22938.29013
163.2	-12743.52252	-21458.59432
163.3	-13059.83412	-19978.89852
163.4	-13426.86548	-18420.60527
163.5	-13796.21737	-16858.71606
163.6	-14190.35041	-15269.91144
163.7	-14631.87062	-13629.63852
163.8	-15073.39083	-11989.3656
163.9	-15567.631	-10291.83263
164	-16081.31992	-8573.176044
164.1	-16600.25303	-6853.435933
164.2	-17158.52025	-5125.568818
164.3	-17716.78747	-3397.701702
164.4	-18310.32898	-1687.404686
164.5	-18938.4781	5.654300323
164.6	-19566.62722	1698.713287
164.7	-20172.18192	3254.665013
164.8	-20774.99813	4793.999075
164.9	-21370.74569	6290.439271
